f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
apartment,Ward 109,1463,1600,100,97,7,4,2,2,22,96,14,0.45,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1750,15012377,Ward 109,apartment
apartment,Ward 109,1449,1600,100,97,7,4,2,2,11,95,14,0.23,2,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1750,15012480,Ward 109,apartment
apartment,Ward 55,1466,1998,100,66,5,4,2,4,12,100,5,0.25,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,3212,15016792,Ward 55,apartment
apartment,Ward 83,1542,1879,100,100,3,4,2,2,22,94,1,0.43,2,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1450,15024237,Ward 83,apartment
apartment,Ward 84,NA,2177,NA,NA,1,4,2,2,0,NA,1,NA,2,0,1,0,1,1,1,1,0,0,0,1,1,1,0,2137,15024843,Ward 84,apartment
apartment,Ward 54,1504,1707,100,95,2,4,2,3,51,100,2,1.02,2,1,1,0,0,1,1,0,1,0,1,0,0,1,0,4214,15029875,Ward 54,apartment
apartment,Ward 115,1456,1747,100,100,1,4,2,3,12,100,1,0.25,2,0,1,1,0,1,1,1,1,0,0,0,1,1,0,2757,15039268,Ward 115,apartment
apartment,Ward 23,1537,2035,100,100,4,4,2,2,21,95,4,0.41,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1438,15049986,Ward 23,apartment
apartment,Ward 115,1542,2614,98,99,37,2,NA,1,54,98,23,1.05,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,500,15054437,Ward 115,apartment
apartment,Ward 54,1556,2548,100,80,2,4,2,2,41,95,1,0.79,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,4000,15055951,Ward 54,apartment
apartment,Ward 54,1546,1561,100,100,1,2,1,1,88,95,1,1.71,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1866,15076464,Ward 54,apartment
apartment,Ward 115,1555,1560,NA,100,1,4,2,2,56,95,1,1.08,2,0,1,1,1,1,1,1,1,0,0,0,1,0,1,2730,15079220,Ward 115,apartment
serviced_apartment,Ward 54,1495,1864,100,98,4,4,1,2,12,95,4,0.24,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1827,15091047,Ward 54,serviced_apartment
apartment,Ward 23,1547,2035,100,100,4,2,1,1,3,100,4,0.06,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1566,15092031,Ward 23,apartment
apartment,Ward 115,1544,1858,100,100,1,3,1,1,178,97,1,3.46,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1250,15097448,Ward 115,apartment
apartment,Ward 59,1417,1559,100,93,2,2,NA,1,43,96,1,0.91,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,350,15103448,Ward 59,apartment
apartment,Ward 83,1550,1339,NA,NA,1,6,3,4,42,100,1,0.81,1.5,0,1,0,1,1,1,1,0,0,0,0,1,1,0,500,15104594,Ward 83,apartment
apartment,Ward 115,1447,1321,97,95,323,6,3,4,17,94,225,0.35,3,0,1,1,1,1,1,1,1,0,0,0,1,1,0,4791,15104930,Ward 115,apartment
apartment,Ward 15,1395,1687,NA,NA,2,2,1,1,3,100,2,0.06,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1000,15105614,Ward 15,apartment
apartment,Ward 77,1090,1947,100,0,1,4,2,2,2,90,1,0.05,2.5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1800,15109561,Ward 77,apartment
apartment,Ward 54,NA,1858,100,NA,1,6,3,3,0,NA,1,NA,3.5,0,1,0,0,1,1,0,1,0,0,0,0,1,0,9500,15109975,Ward 54,apartment
apartment,Ward 115,1551,2375,88,100,12,2,1,1,109,96,3,2.11,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,671,15110552,Ward 115,apartment
apartment,Ward 54,1539,1888,100,99,4,2,NA,1,138,100,5,2.69,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1200,15111481,Ward 54,apartment
apartment,Ward 115,1482,2562,NA,86,1,4,2,3,124,99,2,2.51,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,945,15111573,Ward 115,apartment
apartment,Ward 23,1511,1559,100,100,1,2,1,2,65,98,1,1.29,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,450,15112250,Ward 23,apartment
apartment,Ward 83,1498,2171,100,67,1,5,2,4,8,85,1,0.16,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1350,15118100,Ward 83,apartment
apartment,Ward 54,1481,1787,100,78,118,6,3,4,4,100,113,0.08,3,1,1,1,0,1,1,1,1,0,0,0,1,1,0,6578,15120749,Ward 54,apartment
apartment,Ward 77,NA,1854,88,58,18,6,3,6,0,NA,11,NA,3,0,1,1,0,1,1,0,1,0,0,0,0,1,0,10000,15120928,Ward 77,apartment
apartment,Ward 74,NA,1901,75,100,2,4,1,4,0,NA,2,NA,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1200,15125035,Ward 74,apartment
apartment,Ward 115,1476,2292,100,98,5,4,2,3,159,98,6,3.23,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,3500,15139059,Ward 115,apartment
apartment,Ward 115,1532,1554,86,100,1,4,2,4,193,99,1,3.78,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,950,15168476,Ward 115,apartment
apartment,Ward 115,1454,1555,NA,0,1,2,NA,2,42,96,1,0.87,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,867,15174619,Ward 115,apartment
apartment,Ward 84,1451,2176,100,44,2,2,1,1,5,100,1,0.1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,700,15176884,Ward 84,apartment
apartment,Ward 64,1543,1554,100,100,1,2,1,1,29,99,1,0.56,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,580,15184841,Ward 64,apartment
apartment,Ward 8,1137,2020,NA,100,1,3,1,1,4,95,1,0.11,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,525,15191101,Ward 8,apartment
apartment,Ward 54,1439,1750,0,NA,2,4,2,2,1,NA,2,0.02,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3200,15197620,Ward 54,apartment
apartment,Ward 64,1453,1712,NA,NA,1,4,2,2,1,100,1,0.02,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,800,15211663,Ward 64,apartment
apartment,Ward 57,1476,2387,100,100,2,4,2,3,3,93,1,0.06,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,400,15211946,Ward 57,apartment
apartment,Ward 84,1095,2072,100,100,1,4,2,6,9,93,1,0.25,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,700,15217519,Ward 84,apartment
apartment,Ward 23,1516,2266,100,100,1,2,1,2,86,98,1,1.7,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,530,15217715,Ward 23,apartment
apartment,Ward 115,1517,1568,100,100,1,4,2,2,58,93,1,1.15,2.5,0,1,1,1,1,1,1,0,0,0,0,1,1,0,4400,15227599,Ward 115,apartment
apartment,Ward 4,1080,1551,100,NA,1,2,1,1,6,100,1,0.17,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1000,15229281,Ward 4,apartment
serviced_apartment,Ward 54,1506,2135,98,78,70,6,3,3,19,96,55,0.38,2.5,0,1,1,1,1,1,0,1,0,0,0,0,1,0,12773,15229401,Ward 54,serviced_apartment
apartment,Ward 85,1433,2118,100,61,18,4,2,4,3,100,12,0.06,2,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2286,15230500,Ward 85,apartment
apartment,Ward 115,1532,1590,100,90,2,2,1,1,160,96,2,3.13,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,800,15233361,Ward 115,apartment
apartment,Ward 15,NA,1551,NA,NA,1,6,3,3,0,NA,1,NA,2,0,1,0,0,1,1,1,1,0,0,0,1,1,0,878,15235014,Ward 15,apartment
apartment,Ward 115,1542,1756,100,83,2,3,1,2,167,92,1,3.25,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,550,15238140,Ward 115,apartment
apartment,Ward 54,1521,1549,100,100,1,2,1,1,54,92,2,1.06,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2489,15244000,Ward 54,apartment
serviced_apartment,Ward 115,1110,1320,97,95,323,4,2,3,5,96,225,0.14,2,0,1,1,1,1,1,0,1,0,0,0,0,1,0,2650,15246527,Ward 115,serviced_apartment
serviced_apartment,Ward 115,852,1320,97,95,323,4,2,2,4,95,225,0.14,2,0,1,1,1,1,1,0,1,0,0,0,0,1,0,3650,15248677,Ward 115,serviced_apartment
apartment,Ward 61,1535,1550,100,97,1,2,1,1,94,99,2,1.84,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,520,15249559,Ward 61,apartment
apartment,Ward 54,1476,2024,100,82,2,4,2,2,78,99,2,1.58,2.5,1,1,1,0,1,1,1,1,0,1,1,1,1,0,3575,15250477,Ward 54,apartment
apartment,Ward 77,1534,2371,100,100,3,4,1,1,14,97,2,0.27,2,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1200,15260839,Ward 77,apartment
apartment,Ward 77,1452,2161,100,100,1,2,1,1,12,95,1,0.25,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,570,15265260,Ward 77,apartment
apartment,Ward 54,1451,1549,NA,NA,1,2,1,1,1,60,1,0.02,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2000,15265267,Ward 54,apartment
apartment,Ward 107,1527,1902,100,78,1,2,1,1,23,95,6,0.45,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,585,15276503,Ward 107,apartment
apartment,Ward 73,1518,2839,100,96,42,4,2,3,4,95,30,0.08,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1100,15290064,Ward 73,apartment
apartment,Ward 64,1468,1547,100,86,2,4,2,3,56,99,2,1.14,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1250,15298719,Ward 64,apartment
apartment,Ward 54,1464,2026,100,100,1,6,2,3,91,94,1,1.86,2,0,1,1,1,1,1,1,1,0,1,1,1,1,0,3200,15299952,Ward 54,apartment
apartment,Ward 64,1455,1546,NA,100,1,4,2,8,13,97,1,0.27,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1364,15308552,Ward 64,apartment
apartment,Ward 115,1469,2161,100,95,23,4,2,0,109,93,20,2.22,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,999,15323350,Ward 115,apartment
apartment,Ward 23,1464,2458,NA,100,1,6,3,4,23,91,1,0.47,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1500,15333549,Ward 23,apartment
apartment,Ward 77,1494,1576,100,0,2,4,2,2,8,97,2,0.16,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1321,15340310,Ward 77,apartment
apartment,Ward 26,1529,1543,86,50,2,4,2,2,54,89,1,1.06,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,800,15346933,Ward 26,apartment
apartment,Ward 115,1312,2286,100,100,2,6,3,4,66,99,1,1.51,3.5,1,1,1,1,1,1,0,1,0,0,0,0,1,0,5714,15353642,Ward 115,apartment
apartment,Ward 107,NA,1542,NA,NA,1,6,3,3,0,NA,1,NA,3,0,1,1,0,1,1,0,1,0,0,0,0,1,0,5000,15359156,Ward 107,apartment
apartment,Ward 59,1385,1542,NA,50,1,2,1,1,9,98,1,0.19,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,550,15365526,Ward 59,apartment
apartment,Ward 115,1245,2497,NA,NA,1,2,1,2,1,100,1,0.02,1.5,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1750,15365729,Ward 115,apartment
apartment,Ward 64,1526,1541,100,100,1,2,NA,2,52,98,1,1.02,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,351,15381262,Ward 64,apartment
apartment,Ward 61,1425,1541,100,80,1,2,1,2,39,96,1,0.82,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,750,15381730,Ward 61,apartment
apartment,Ward 113,1137,1541,100,83,1,3,1,2,45,97,1,1.19,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,651,15388010,Ward 113,apartment
loft,Ward 115,1516,2146,100,0,1,2,NA,1,5,95,1,0.1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,850,15388208,Ward 115,loft
apartment,Ward 115,1485,3216,100,100,5,2,NA,1,57,91,4,1.15,1.5,1,1,1,1,1,1,1,0,0,0,0,1,1,0,900,15391348,Ward 115,apartment
apartment,Ward 55,1519,1998,100,66,5,2,1,1,18,92,5,0.36,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1716,15404531,Ward 55,apartment
apartment,Ward 100,1468,1539,100,88,1,2,NA,1,86,97,1,1.76,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,850,15415688,Ward 100,apartment
apartment,Ward 115,1527,1984,NA,100,1,2,NA,1,86,96,1,1.69,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2021,15419336,Ward 115,apartment
apartment,Ward 115,1530,1537,100,100,1,3,2,2,61,94,1,1.2,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1817,15425345,Ward 115,apartment
loft,Ward 115,1494,1559,100,90,1,2,1,1,112,95,1,2.25,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,844,15430629,Ward 115,loft
apartment,Ward 23,NA,1848,NA,NA,1,6,3,3,0,NA,1,NA,2,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2200,15443150,Ward 23,apartment
apartment,Ward 54,NA,1796,NA,NA,1,4,2,2,0,NA,1,NA,1.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3500,15446515,Ward 54,apartment
apartment,Ward 64,55,1709,100,83,0,3,1,1,1,100,1,0.54,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,250,15447724,Ward 64,apartment
apartment,Ward 113,1461,1537,100,100,1,2,1,1,21,100,1,0.43,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,600,15450891,Ward 113,apartment
apartment,Ward 74,NA,2469,NA,NA,1,2,NA,1,0,NA,1,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1535,15456201,Ward 74,apartment
apartment,Ward 23,1474,1535,100,75,1,3,2,2,43,97,2,0.87,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,2000,15459144,Ward 23,apartment
apartment,Ward 59,1119,2401,100,100,2,2,1,1,6,92,2,0.16,1.5,0,1,1,0,1,1,1,0,0,0,1,1,1,0,600,15460149,Ward 59,apartment
apartment,Ward 69,1475,1646,100,100,2,2,1,1,174,95,2,3.54,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1250,15477717,Ward 69,apartment
apartment,Ward 23,720,1543,100,100,15,4,2,3,1,100,9,0.04,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1595,15483546,Ward 23,apartment
apartment,Ward 54,1533,1550,67,83,1,4,1,2,34,94,1,0.66,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,2650,15483599,Ward 54,apartment
apartment,Ward 59,1497,1702,NA,100,2,2,NA,1,72,98,2,1.44,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,650,15489483,Ward 59,apartment
apartment,Ward 23,NA,1544,100,100,15,4,2,3,0,NA,9,NA,2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1450,15490362,Ward 23,apartment
apartment,Ward 83,NA,1534,0,NA,1,4,2,2,0,NA,1,NA,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1432,15490394,Ward 83,apartment
apartment,Ward 115,1519,2691,100,98,36,2,1,1,53,94,32,1.05,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1136,15503639,Ward 115,apartment
apartment,Ward 115,1530,3235,0,0,1,2,1,1,5,90,1,0.1,2,0,1,0,0,1,1,0,1,0,1,0,0,1,0,2672,15516591,Ward 115,apartment
apartment,Ward 54,1514,1963,0,NA,1,4,1,1,1,NA,1,0.02,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3654,15520209,Ward 54,apartment
apartment,Ward 107,1070,2936,100,88,2,4,2,3,6,93,1,0.17,2,0,1,1,0,1,1,1,0,0,0,1,1,1,0,2646,15530522,Ward 107,apartment
apartment,Ward 55,1494,1776,100,74,7,6,3,0,8,100,9,0.16,2,0,1,1,0,1,1,1,1,0,0,1,1,1,0,3536,15537088,Ward 55,apartment
apartment,Ward 54,1392,2955,100,95,14,6,3,0,10,100,13,0.22,3,1,1,1,0,1,1,1,1,0,0,1,1,1,0,3800,15540933,Ward 54,apartment
apartment,Ward 115,1414,1529,100,89,1,4,2,4,88,98,2,1.87,1.5,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1950,15541380,Ward 115,apartment
apartment,Ward 115,1452,1669,100,NA,2,4,2,2,2,100,2,0.04,2,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1499,15544991,Ward 115,apartment
apartment,Ward 62,1498,1530,100,91,1,2,NA,1,84,97,1,1.68,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,921,15545248,Ward 62,apartment
apartment,Ward 115,1166,2370,100,60,4,4,2,3,1,NA,3,0.03,2,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1750,15553949,Ward 115,apartment
apartment,Ward 15,1505,1632,100,96,2,4,2,2,39,94,2,0.78,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,300,15554432,Ward 15,apartment
apartment,Ward 23,722,1544,100,100,15,4,2,3,1,100,9,0.04,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1395,15557426,Ward 23,apartment
apartment,Ward 54,1516,1529,100,100,1,5,2,2,80,98,1,1.58,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1000,15560536,Ward 54,apartment
loft,Ward 115,1350,2716,100,75,2,2,1,1,29,94,1,0.64,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,980,15560703,Ward 115,loft
apartment,Ward 115,1507,3129,100,90,1,3,2,2,55,99,1,1.09,2,1,1,1,0,1,1,1,0,0,0,0,1,1,0,2500,15563884,Ward 115,apartment
apartment,Ward 115,1520,2340,100,98,7,2,1,1,69,98,7,1.36,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1828,15593280,Ward 115,apartment
apartment,Ward 54,1497,1730,100,100,4,2,NA,1,35,97,4,0.7,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1350,15596264,Ward 54,apartment
apartment,Ward 115,1513,1525,100,100,1,3,2,2,40,96,1,0.79,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,2399,15607621,Ward 115,apartment
apartment,Ward 115,1510,2212,90,90,7,4,2,3,149,96,2,2.96,2,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1600,15609035,Ward 115,apartment
apartment,Ward 54,1456,1729,100,100,4,2,1,1,25,98,4,0.51,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1850,15609209,Ward 54,apartment
apartment,Ward 54,1491,1730,100,100,4,2,1,1,42,97,4,0.84,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1800,15610215,Ward 54,apartment
apartment,Ward 54,1449,2269,100,100,1,4,2,2,2,90,1,0.04,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2000,15615919,Ward 54,apartment
apartment,Ward 115,1507,2376,100,98,7,2,1,1,139,99,5,2.77,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1200,15615927,Ward 115,apartment
apartment,Ward 113,1511,2327,NA,100,1,4,1,2,36,99,1,0.71,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1100,15636298,Ward 113,apartment
apartment,Ward 54,1502,1524,100,91,2,2,1,2,24,97,2,0.48,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1240,15637079,Ward 54,apartment
apartment,Ward 59,NA,1522,NA,NA,1,4,2,2,0,NA,1,NA,2,0,1,0,0,1,1,0,1,0,0,0,0,1,0,2500,15659359,Ward 59,apartment
apartment,Ward 115,1396,742,NA,NA,6,3,1,2,108,94,6,2.32,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1200,15672439,Ward 115,apartment
apartment,Ward 23,NA,1501,NA,NA,2,4,2,3,0,NA,2,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1500,15696049,Ward 23,apartment
apartment,Ward 115,1497,1846,100,100,5,3,1,1,56,99,2,1.12,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,2671,15696329,Ward 115,apartment
apartment,Ward 115,1510,1998,100,100,1,2,1,1,181,95,1,3.59,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1200,15699720,Ward 115,apartment
apartment,Ward 57,NA,2351,NA,NA,1,4,2,2,0,NA,1,NA,1.5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1750,15702456,Ward 57,apartment
apartment,Ward 54,1498,1520,90,100,1,2,1,2,158,98,1,3.16,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,914,15712394,Ward 54,apartment
apartment,Ward 77,1483,1519,100,96,1,4,2,3,136,99,1,2.75,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,2786,15713181,Ward 77,apartment
apartment,Ward 115,1497,2615,100,93,5,2,1,1,60,98,4,1.2,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1000,15725654,Ward 115,apartment
loft,Ward 62,1320,1781,100,0,2,4,2,3,14,100,2,0.32,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,850,15728662,Ward 62,loft
apartment,Ward 73,1349,1519,NA,0,1,2,1,1,1,80,1,0.02,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,650,15732100,Ward 73,apartment
apartment,Ward 77,1501,2003,100,91,7,2,1,1,332,95,4,6.63,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,800,15733201,Ward 77,apartment
apartment,Ward 115,1462,1908,NA,100,1,4,2,2,15,94,1,0.31,2,0,1,1,0,1,1,0,1,0,0,0,0,1,0,2000,15738134,Ward 115,apartment
apartment,Ward 23,1080,1936,NA,NA,1,4,2,2,1,100,1,0.03,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1200,15752779,Ward 23,apartment
apartment,Ward 115,1457,1516,100,91,1,6,3,4,69,92,1,1.42,2,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1800,15753844,Ward 115,apartment
apartment,Ward 115,1461,1659,100,0,1,4,1,2,2,100,1,0.04,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,700,15761283,Ward 115,apartment
apartment,Ward 58,1444,2181,100,95,3,2,1,1,15,100,3,0.31,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,750,15761458,Ward 58,apartment
apartment,Ward 115,668,2193,38,89,12,2,1,1,1,80,11,0.04,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1850,15761645,Ward 115,apartment
apartment,Ward 115,NA,2214,NA,0,2,4,2,3,0,NA,2,NA,2.5,0,1,1,0,1,1,0,1,0,0,0,0,1,0,3550,15761955,Ward 115,apartment
apartment,Ward 115,1503,1515,NA,100,1,2,1,1,42,91,1,0.84,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,2300,15762506,Ward 115,apartment
apartment,Ward 58,1406,1516,100,86,2,4,2,3,15,96,1,0.32,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,950,15769099,Ward 58,apartment
apartment,Ward 115,1493,1812,96,96,6,2,1,1,49,95,7,0.98,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,2000,15769148,Ward 115,apartment
apartment,Ward 54,1449,3818,100,91,3,4,2,2,3,100,3,0.06,2.5,1,1,1,0,1,1,0,1,0,0,0,0,1,0,8000,15776425,Ward 54,apartment
apartment,Ward 64,1458,1514,100,100,1,4,2,4,17,100,1,0.35,2,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1600,15783305,Ward 64,apartment
apartment,Ward 64,1452,1514,100,96,1,2,1,3,72,97,1,1.49,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,486,15786466,Ward 64,apartment
apartment,Ward 77,1500,1696,100,100,1,4,2,3,59,96,1,1.18,2,1,1,0,0,1,1,1,0,0,0,0,1,1,0,2357,15788126,Ward 77,apartment
serviced_apartment,Ward 54,1492,2991,79,94,72,3,1,1,10,80,71,0.2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,850,15794752,Ward 54,serviced_apartment
apartment,Ward 115,1453,1548,100,0,2,2,1,0,16,93,2,0.33,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,650,15795455,Ward 115,apartment
apartment,Ward 115,1497,1766,NA,91,1,2,NA,1,223,96,1,4.47,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,850,15796850,Ward 115,apartment
apartment,Ward 115,1453,2456,100,53,2,4,2,3,2,90,1,0.04,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,2000,15797879,Ward 115,apartment
apartment,Ward 54,789,2838,100,74,22,4,2,3,8,98,15,0.3,2,1,1,1,0,1,1,1,1,0,0,0,1,1,0,5999,15812476,Ward 54,apartment
apartment,Ward 115,1504,463,NA,NA,53,2,1,1,112,91,40,2.23,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1198,15813596,Ward 115,apartment
apartment,Ward 54,1496,1816,89,100,3,5,3,3,4,95,2,0.08,3,0,1,1,0,1,1,1,1,0,1,1,1,1,0,5847,15817580,Ward 54,apartment
apartment,Ward 77,1496,2489,100,76,13,4,2,3,26,95,15,0.52,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1800,15824282,Ward 77,apartment
apartment,Ward 54,1449,1855,88,58,18,6,3,4,2,80,11,0.04,3.5,0,1,1,0,1,1,1,1,0,0,1,1,1,0,9000,15827317,Ward 54,apartment
apartment,Ward 64,363,1535,100,100,1,4,2,3,1,100,1,0.08,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1300,15829999,Ward 64,apartment
apartment,Ward 55,1457,1510,NA,0,1,4,2,2,5,92,1,0.1,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1200,15841421,Ward 55,apartment
apartment,Ward 64,NA,1644,NA,NA,1,4,2,2,0,NA,1,NA,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1357,15844196,Ward 64,apartment
apartment,Ward 73,1489,3330,100,100,1,3,3,3,82,97,1,1.65,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,299,15849462,Ward 73,apartment
apartment,Ward 70,1377,1804,NA,NA,1,2,1,1,1,100,1,0.02,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,900,15852292,Ward 70,apartment
apartment,Ward 64,NA,1509,0,NA,1,5,2,4,0,NA,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1200,15852606,Ward 64,apartment
apartment,Ward 59,1502,1849,0,NA,1,4,1,2,6,100,1,0.12,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,400,15854038,Ward 59,apartment
apartment,Ward 77,1459,1510,100,82,6,2,1,1,10,94,6,0.21,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,899,15854848,Ward 77,apartment
apartment,Ward 54,1491,2074,100,93,12,2,1,1,73,98,10,1.47,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1280,15860379,Ward 54,apartment
